Acceptance tests: a correct example plus even-division and non-even cases with correct expected outputs	Submitted in your PDF on Canvas. Includes at least one correct normal case, a case where the payback distance divides evenly into whole years, a case where it does not, and a zero-manufacturing-footprint case, each with the four input values and the correct expected printed lines.	true	20	Full Marks		10	Partial	Some cases, but missing the even-division or non-even case, or with incorrect expected outputs.	0	No Marks
Pseudocode: a clear, complete plan	Submitted in your PDF on Canvas. A readable step-by-step plan another student could implement, naming the intermediate values you will compute.	true	15	Full Marks		8	Partial	Vague or incomplete plan.	0	No Marks
Code: the program prints the correct output	Autograded on Gradescope by piping the four input values and comparing the printed output, in Python or Rust. All three lines must match for each case.	true	35	Full Marks		0	No Marks
Input: values read from standard input, in order	Checked by the TA reading your submitted code. The program reads all four values from standard input, in the order given (extra manufacturing footprint, then the gasoline figure, then the EV figure, then the annual distance), with int(input()) in Python or read_i32() in Rust, and prints nothing before its three result lines. Hardcoding a value instead of reading it, or reading the values out of order, earns no marks.	true	5	Full Marks		0	No Marks
Implementation: the payback distance computed with integer division and remainder	Checked by the TA reading your submitted code. The payback distance and the whole years must each come from integer division (`//` in Python, `/` on whole numbers in Rust), and the leftover kilometres from computing a remainder, not from a hardcoded or looked-up result. Hidden tests vary the input values, so a result copied from the worked example earns no marks.	true	5	Full Marks		0	No Marks
Paper practice: completed hand trace attached	Submitted in your PDF on Canvas. Graded on completion (the attached trace), not on whether every cell is right.	true	10	Full Marks		0	No Marks
Reflection: attached, with AI disclosure and the modeling sentence	Submitted in your PDF on Canvas. Two sentences of disclosure plus the sentence naming the intermediate variables you chose. Graded on completion.	true	10	Full Marks		0	No Marks
Summit (extra credit): the lifetime-saving program prints the correct output	Optional. Autograded on Gradescope.	true	15	Full Marks		0	No Marks
