Acceptance tests: a correct example plus boundary and edge cases with correct expected values	Submitted in your PDF on Canvas. Includes the worked example, the sols-of-zero boundary case, the zero-growth case, and at least one case computed by hand, each with the correct expected charge.	true	20	Full Marks		10	Partial	Some cases, but missing a required case or a boundary case, or with incorrect expected values.	0	No Marks	
Pseudocode: a clear, complete plan	Submitted in your PDF on Canvas. A readable step-by-step plan another student could implement, naming the running value you carry, how you start it, and what happens each sol.	true	15	Full Marks		8	Partial	Vague or incomplete plan.	0	No Marks	
Code: solar_charge_after returns the correct value	Autograded on Gradescope across hidden test cases spanning several sols, the sols-of-zero boundary, and zero growth, in Python or Rust.	true	45	Full Marks		0	No Marks	
Paper practice: completed hand trace attached	Submitted in your PDF on Canvas. Graded on completion (the attached trace), not on whether every cell is right.	true	10	Full Marks		0	No Marks	
Reflection: attached, with AI disclosure and the modeling sentence	Submitted in your PDF on Canvas. Two sentences of disclosure plus the sentence naming the intermediate values you chose. Graded on completion.	true	10	Full Marks		0	No Marks	
Summit (extra credit): count_clear_cells returns the correct value	Optional. Autograded on Gradescope.	true	15	Full Marks		0	No Marks	
