Grading script output	Score output by grading script (make test). Maximum of 30 points extra credit.	true	70	Full Marks		0	No Marks		
History of calculations is tracked and printed correctly at the end of the program		true	5	Full Marks		0	No Marks		
AI Critique	Submits ai_calculator.cpp or ai_explanation.txt, and ai_reflection.txt. Reflection must include: (1) two things the AI did well, (2) two potential problems with the AI solution, (3) a statement on whether the student would trust the solution, with reasoning.	true	5	Full Marks		0	No Marks		
Style: Function block comments	Each function other than main is annotated with a block comment, as per the course style guidelines.	true	10	Full Marks		0	No Marks		
Style: File block comments	The submitted .cpp file provides a file block comment with the author's name and file description.	true	2	Full Marks		0	No Marks		
Style: Follows remaining relevant style guidelines	This criterion counts downward from full points with deductions (clipped at 0): code not modularized into functions (SRP violated, up to -10); code repeats complex statements/expressions (up to -5); using any global variables (-5); poor indentation (up to -10); poor documentation/variable names (up to -5); inconsistent variable naming (up to -5); poor whitespace separation (up to -3); excessively long lines (-1 each); other style issues (TA discretion, up to -5).	true	8	Full Marks		0	No Marks		
